"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 21:01:31 GMT 2025","Mon Mar 31 21:01:48 GMT 2025","16354","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 21:02:07 GMT 2025","Mon Mar 31 21:02:14 GMT 2025","6197","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Mon Mar 31 21:01:07 GMT 2025","Mon Mar 31 21:01:26 GMT 2025","18878","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
"passed","Mon Mar 31 21:01:48 GMT 2025","Mon Mar 31 21:01:55 GMT 2025","7298","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Mar 31 21:01:26 GMT 2025","Mon Mar 31 21:01:31 GMT 2025","4534","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
"passed","Mon Mar 31 21:02:14 GMT 2025","Mon Mar 31 21:02:24 GMT 2025","10308","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
"passed","Mon Mar 31 21:00:51 GMT 2025","Mon Mar 31 21:00:52 GMT 2025","356","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 21:01:55 GMT 2025","Mon Mar 31 21:02:07 GMT 2025","12026","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
