"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 21:21:40 GMT 2025","Mon Mar 31 21:21:48 GMT 2025","7974","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Mar 31 21:21:21 GMT 2025","Mon Mar 31 21:21:40 GMT 2025","18108","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 21:21:48 GMT 2025","Mon Mar 31 21:21:58 GMT 2025","10650","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Mon Mar 31 21:20:44 GMT 2025","Mon Mar 31 21:20:44 GMT 2025","325","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 21:21:59 GMT 2025","Mon Mar 31 21:22:06 GMT 2025","7106","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Mon Mar 31 21:21:17 GMT 2025","Mon Mar 31 21:21:21 GMT 2025","4292","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
"passed","Mon Mar 31 21:20:58 GMT 2025","Mon Mar 31 21:21:17 GMT 2025","18258","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
"passed","Mon Mar 31 21:22:06 GMT 2025","Mon Mar 31 21:22:16 GMT 2025","10214","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
