"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 10:12:53 GMT 2025","Tue Apr 01 10:13:03 GMT 2025","10161","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
"passed","Tue Apr 01 10:12:46 GMT 2025","Tue Apr 01 10:12:53 GMT 2025","6703","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Tue Apr 01 10:12:26 GMT 2025","Tue Apr 01 10:12:34 GMT 2025","8518","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Apr 01 10:11:32 GMT 2025","Tue Apr 01 10:11:33 GMT 2025","334","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue Apr 01 10:12:08 GMT 2025","Tue Apr 01 10:12:25 GMT 2025","17242","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 10:11:46 GMT 2025","Tue Apr 01 10:12:03 GMT 2025","17479","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
"passed","Tue Apr 01 10:12:34 GMT 2025","Tue Apr 01 10:12:46 GMT 2025","11285","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Tue Apr 01 10:12:04 GMT 2025","Tue Apr 01 10:12:08 GMT 2025","4351","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
