"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 20:46:46 GMT 2025","Mon Mar 31 20:46:59 GMT 2025","12578","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Mon Mar 31 20:46:38 GMT 2025","Mon Mar 31 20:46:46 GMT 2025","7578","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Mar 31 20:46:22 GMT 2025","Mon Mar 31 20:46:38 GMT 2025","16393","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 20:47:05 GMT 2025","Mon Mar 31 20:47:16 GMT 2025","10294","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
"passed","Mon Mar 31 20:45:39 GMT 2025","Mon Mar 31 20:45:40 GMT 2025","355","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 20:46:17 GMT 2025","Mon Mar 31 20:46:22 GMT 2025","4566","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
"passed","Mon Mar 31 20:46:59 GMT 2025","Mon Mar 31 20:47:05 GMT 2025","6144","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Mon Mar 31 20:45:54 GMT 2025","Mon Mar 31 20:46:17 GMT 2025","22722","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
