"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 20:54:05 GMT 2025","Mon Mar 31 20:54:12 GMT 2025","6980","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Mar 31 20:53:41 GMT 2025","Mon Mar 31 20:53:46 GMT 2025","4701","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
"passed","Mon Mar 31 20:54:12 GMT 2025","Mon Mar 31 20:54:22 GMT 2025","10107","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Mon Mar 31 20:53:46 GMT 2025","Mon Mar 31 20:54:05 GMT 2025","18533","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 20:53:06 GMT 2025","Mon Mar 31 20:53:06 GMT 2025","337","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 20:54:22 GMT 2025","Mon Mar 31 20:54:29 GMT 2025","6738","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Mon Mar 31 20:54:29 GMT 2025","Mon Mar 31 20:54:39 GMT 2025","10197","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
"passed","Mon Mar 31 20:53:21 GMT 2025","Mon Mar 31 20:53:41 GMT 2025","19516","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
