"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 21:09:52 GMT 2025","Mon Mar 31 21:10:10 GMT 2025","18312","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able to search project by name",""
"passed","Mon Mar 31 21:10:11 GMT 2025","Mon Mar 31 21:10:15 GMT 2025","4206","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProjectNotExist","User should not be able to search project that doesn't exist",""
"passed","Mon Mar 31 21:10:40 GMT 2025","Mon Mar 31 21:10:50 GMT 2025","9417","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Mon Mar 31 21:10:33 GMT 2025","Mon Mar 31 21:10:40 GMT 2025","7380","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"failed","Mon Mar 31 21:10:50 GMT 2025","Mon Mar 31 21:11:01 GMT 2025","11718","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildDuplicatedNane","User should not be able to create build with name that already exist",""
"passed","Mon Mar 31 21:09:37 GMT 2025","Mon Mar 31 21:09:38 GMT 2025","413","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 21:10:15 GMT 2025","Mon Mar 31 21:10:32 GMT 2025","17266","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 21:11:02 GMT 2025","Mon Mar 31 21:11:12 GMT 2025","10422","Surefire suite","Surefire test","com.example.teamcity.ui.StartBuildTest","com.example.teamcity.ui.StartBuildTest","userCreatesProject","User should be able to start build",""
